id,success,n_steps,expected_steps,steps_delta,max_steps,prompt_tokens,completion_tokens,total_tokens,tags,start_url,end_url,end_title,goal,error
eval_search_shirt_results,False,3,3,0,6,25999,60,26059,"search,guest",http://localhost:7770/,http://localhost:7770/,One Stop Market,"From the homepage, search for 'shirt' and land on the search results page.",stuck_loop: repeated click on combobox 'Search entire store here...' 3x without leaving 'http://localhost:7770/' / 'One Stop Market'
eval_open_create_account,True,1,1,0,4,8559,20,8579,"auth,register,guest",http://localhost:7770/,http://localhost:7770/customer/account/create/,Create New Customer Account,Open the Create New Customer Account form from the storefront header.,
eval_forgot_password_from_login,True,1,1,0,4,6710,20,6730,"auth,guest",http://localhost:7770/customer/account/login/,http://localhost:7770/customer/account/forgotpassword/,Forgot Your Password?,Start on the login page and open the Forgot Your Password recovery page.,
eval_browse_video_games,True,1,1,0,4,8561,20,8581,"browse,guest",http://localhost:7770/,http://localhost:7770/video-games.html,Video Games,"From the homepage, open the Video Games category via the main navigation.",
eval_product_add_wishlist,False,4,2,2,4,28739,80,28819,"wishlist,product,guest",http://localhost:7770/briess-dme-pilsen-light-1-lb-bag.html,http://localhost:7770/customer/account/create/,Create New Customer Account,You are on a product page. Add the product to the wish list (do not add to cart).,
eval_empty_cart_from_home,False,3,2,1,6,26024,60,26084,"cart,guest",http://localhost:7770/,http://localhost:7770/,One Stop Market,"From the homepage, open the shopping cart page. Done when the cart URL is open (empty cart is OK).",stuck_loop: repeated click on link 'My Cart' 3x without leaving 'http://localhost:7770/' / 'One Stop Market'
eval_advanced_search_fill_name,False,3,5,-2,8,26014,60,26074,"search,advanced,guest",http://localhost:7770/,http://localhost:7770/,One Stop Market,"Open Advanced Search, type 'tea' into the Product Name field, and run the search so results appear.",stuck_loop: repeated click on combobox 'Search entire store here...' 3x without leaving 'http://localhost:7770/' / 'One Stop Market'
eval_login_then_address_book,False,3,4,-1,10,20548,60,20608,"auth,account,customer",http://localhost:7770/customer/account/login/,http://localhost:7770/customer/account/login/,Customer Login,"Log in with the test customer account, then open the Address Book.",stuck_loop: repeated click on textbox 'Email' 3x without leaving 'http://localhost:7770/customer/account/login/' / 'Customer Login'
eval_category_to_headphones,True,2,1,1,6,17334,40,17374,"browse,guest",http://localhost:7770/electronics.html,http://localhost:7770/electronics/headphones.html,Headphones - Electronics,Start on Electronics. Open the Headphones subcategory from the category sidebar/listing.,
eval_minicart_to_full_cart,False,3,3,0,8,26185,68,26253,"cart,minicart,guest",http://localhost:7770/,http://localhost:7770/,One Stop Market,"Assume an item is already in the cart. From the homepage, open the mini-cart and go to the full Shopping Cart page via View and Edit Cart (do NOT use Proceed to Checkout).",stuck_loop: repeated click on link 'My Cart 1 1 items' 3x without leaving 'http://localhost:7770/' / 'One Stop Market'
